set,number,name,cost,unique,level,range,movement,power,hp,quick,type,subtype,effect
BK1,49,Farnese,G,yes,1,0,1,1,1,no,character,Noble,"When this card is opened, draw 2 cards."
BK1,50,Farnese,G,yes,1,0,1,1,1,no,character,Noble,"When this card is opened, add 1 Serpico from your deck to your hand."
BK1,51,Serpico,G,yes,2,0,1,3,1,no,character,Noble,During combat reduce damage dealt to this card by 3.
BK1,52,Serpico,G,yes,3,0,1,4,2,no,character,Noble,During combat reduce damage dealt to this card by 3.
BK1,53,Schierke,G,yes,3,0,1,0,1,no,character,Magician,"When this card is opened, deal 4 damage to each enemy character in this area."
BK1,54,Schierke,G,yes,3,0,1,0,1,no,character,Magician,Tap: Draw 2 cards
BK1,55,Isidro,G,yes,1,0,1,1,1,no,character,Bandit,Tap: Deal 1 damage to target character in this area
BK1,56,Isidro,G,yes,1,0,1,1,1,no,character,Bandit,Tap: Draw 1 card
BK1,57,Puck,G,yes,1,0,1,0,1,no,character,Elf,"When this card is opened, add 1 Serpico card from your deck to your hand."
BK1,58,Flora,G,yes,4,0,0,0,1,no,character,Magician,All characters you control in this area gain +0/+2 and your opponents characters here gain -2/+0
BK1,59,Steady Advance,G,no,3,,,,,no,Effect,Normal,All characters you control in this area gain +2/+2 until end of turn.
BK1,60,Forced Breakthrough,G,no,2,,,,,no,Effect,Normal,Target 1 character in this area. It gains +2/+2 for each character your opponent controls in this area.
BK1,61,Reunion On The Hill Of Swords,G,no,3,,,,,yes,Effect,Normal,"When this card is opened, if an opponent did not move a character to this area this turn, you may set 1 level 4 or lower character from your hand in this area, and immediately open it."
BK1,62,Goal Of The Swordsman,G,no,3,,,,,yes,Effect,Normal,Move 1 character you control from this area to any area that an opponent has a character of level 3 or higher in.
BK1,63,Confrontation On The Hill Of Swords,G,no,3,,,,,no,Effect,Normal,Target character in this area gains +4/+4 until end of turn
BK1,64,I Will Never Lose You,G,no,3,,,,,yes,Effect,Normal,"When this card is opened, target a character in this area, or an area up to 1 distance away. Reduce damage that character receives by 3 this turn."
BK1,65,A Sword For Protection,G,no,2,,,,,yes,Effect,Normal,"Open this card only if a battle was declared in this area this turn by either player. Search your deck for a character, reveal it, and add it to your hand. Then draw 1 card."
BK1,66,Lost Time,G,no,3,,,,,no,Effect,Eternal,"When this card is opened, draw 2 cards. At the start of your turn, you may choose to skip your draw phase and if you do, draw 2 cards at the end of your turn instead."
BK1,67,Sustenance Of Hate,G,no,2,,,,,yes,Effect,Normal,"When this card is opened, destroy all set cards you control in all areas. Draw that many cards."
BK1,68,Compensation For The Porter,G,no,2,,,,,yes,Effect,Normal,"When this card is opened, move all your set cards from this area to any other area."
BK1,69,Reunion In The Wilderness,G,no,2,,,,,no,Effect,Normal,"When this card is opened, search your deck for any card and add it to your hand."
BK1,70,Demonstration Of An Apology,G,no,2,,,,,no,Effect,Normal,"When this card is opened, draw 3 cards"
BK1,71,Magical Barrier,G,no,2,,,,,yes,Effect,Normal,"When this card is opened, target a character in an area up to 1 distance away and reduce damage that would be dealt to that character by 2."
BK1,72,Fire Elemental Projection,G,no,2,,,,,no,Effect,Normal,"When this card is opened, all enemy characters level 2 or lower in this area take 3 damage."
BK1,73,Fated Encounter,G,no,3,,,,,no,Effect,Normal,"When this card is opened, draw cards equal to the number of characters you have open."
BK1,74,House Of The Wood Spirits,G,yes,3,,,,,no,Effect,Eternal,"When this card is opened, draw 3 cards.

As long as this card is on the board, your characters in this area gain +0/+1 and enemy characters gain -1/+0"
BK1,75,Magical Research,G,no,2,,,,,no,Effect,Normal,"When this card is opened, choose 3 cards from your deck and send them to the graveyard. Then draw 2 cards."
BK1,76,Sylph Sword,G,no,2,,,,,no,Effect,Eternal,"When this card is opened, attach it to a character. That character gains +1 Range and +3 Power as long as this card remains in play"
BK1,77,Sylph Hood,G,no,2,,,,,no,Effect,Eternal,"When this card is opened, attach it to a character. That character gains +1 Move and +2/+4 as long as this card remains in play"
BK1,78,Fetish For Telepathy,G,no,4,,,,,no,Effect,Normal,"When this card is opened, all characters you control in this area gain +1/+1 for each character you have open, until end of turn."
BK1,79,Camp Survey,G,no,3,,,,,no,Effect,Eternal,"When this card is opened, draw 3 cards.  

(Quick) Lock a character you control in this area: All characters you control in this area gain +2/+1 until end of turn"
BK1,80,Strength Of The Bond,G,no,2,,,,,no,Effect,Normal,"When this card is opened, destroy 1 black character in this area."
BK1,81,Mercenary,B,no,0,0,1,1,1,no,character,Mercenary,
BK1,82,Disgusting Fiend,B,no,1,0,1,1,1,no,character,Spirit Creature,"When this card is destroyed, all characters in this area take 1 damage."
BK1,83,Writhing Fiend,B,no,2,0,1,2,2,no,character,Spirit Creature,"When this card is destroyed, all characters in this area take 2 damage."
BK1,84,Forest Ghost,B,no,2,0,0,2,4,no,character,Spirit Creature,If you occupy the area this card is in it recieves +0/+2
BK1,85,Creeping Nightmare,B,no,1,0,1,0,1,no,character,Spirit Creature,"This card cannot attack. Tap: Target any character in this area, that character does not unlock during its controllers next refresh phase."
BK1,86,Will-'o-the-wisp,B,no,1,0,1,1,2,no,character,Spirit Creature,"When this card is destroyed, Your opponent discards 1 card at random."
BK1,87,Insect Elf,B,no,1,0,2,1,2,no,character,Spirit Creature,
BK1,88,Insect Elf,B,no,1,0,2,2,1,no,character,Spirit Creature,
BK1,89,Forest Guardian,B,no,2,1,1,4,1,no,character,Spirit Creature,This character cannot attack. (Quick) Tap: Your opponent puts the top 2 cards of their deck into the graveyard.
BK1,90,Forest Guardian,B,no,2,0,1,1,5,no,character,Spirit Creature,This character cannot attack. (Quick) Tap: This card gains +2/-2 until end of turn.
BK1,91,Snowman,B,no,1,0,0,1,1,no,character,Spirit Creature,"When this card is destroyed, you may (optional) search your deck for a card named Snowman, set that card in this area, and then open it. Then shuffle your deck."
BK1,92,Possessing Fiend,B,no,1,0,1,1,2,no,character,Spirit Creature,(Quick) Destroy this card: Lock 1 character in this area.
BK1,93,Troll,B,no,1,0,1,2,2,no,character,Spirit Creature,"When you capture an area while attacking with this card, you draw 1 card instead of 2."
BK1,94,Troll,B,no,1,0,1,2,2,no,character,Spirit Creature,"When this card is destroyed, discard a card of your choice."
BK1,95,Ogre,B,no,2,0,1,3,3,no,character,Spirit Creature,
BK1,96,Ogre,B,no,3,0,1,4,4,no,character,Spirit Creature,
BK1,97,Kelpie,B,no,3,0,2,3,3,no,character,Spirit Creature,(Quick) B: This card gains +2/+1 until end of turn
BK1,98,Kelpie,B,no,2,0,2,2,2,no,character,Spirit Creature,Tap: Target character in this area that is level 1 or level 0 takes 2 damage.
BK1,99,Evil Spirits Of The Wild,B,no,2,0,2,1,4,no,character,Spirit Creature,Tap: Your opponent puts the top 3 cards of their deck into the graveyard
BK1,100,Evil Spirits Of The Wild,B,no,1,0,1,1,1,no,character,Spirit Creature,"Tap: If this character is in an occupied area you control, your opponent destroys 1 set card they control in this area, or an adjacent area of their choice."
BK1,101,Rosine,B,yes,2,0,1,3,3,no,character,Apostle,1B: Move this card to an adjacent area
BK1,102,Rosine,B,yes,3,0,2,5,3,no,character,Apostle,1B: Unlock this card
BK1,103,Demon Interception,B,no,3,,,,,yes,Effect,Normal,"When this card is opened, your opponent must discard 2 cards for each character they control in battle in this area or destroy that card"
BK1,104,Deceased Sun,B,yes,2,,,,,no,Effect,Eternal,"When this card is opened, draw 2 cards. At the start of each players turn, if that player occupies this area, they must discard a card if they have 3 or more cards in their hand."
BK1,105,A Crimson Lake Appears,1B,no,4,,,,,no,Effect,Normal,Destroy all characters in this area.
BK1,106,Flight Of The Insect Elves,B,no,3,,,,,yes,Effect,Normal,"When this card is opened, target a character in this area, or an adjacent area, and deal 2 damage to it"
BK1,107,Peekaf's Fairy Tale,B,no,2,,,,,yes,Effect,Normal,This card can only be opened when an enemy character moved to this area this turn. That card does not unlock during the next refresh phase when it would unlock.
BK1,108,Innocent Taunt,B,no,2,,,,,yes,Effect,Normal,"When this card is opened, move an enemy character from an adjacent area to this area, unlock that character. Draw 1 card."
BK1,109,Scolding,B,no,2,,,,,no,Effect,Normal,"When this card Is opened, target 1 character you control in this area, unlock it, and deal 2 damage to it."
BK1,110,Instant Contact,B,no,2,,,,,yes,Effect,Normal,This card can only be opened if a character attacked this area this turn. Lock target character in this area.
BK1,111,Withdrawal Order,B,no,2,,,,,yes,Effect,Normal,"When this card is opened, move one of your character from this area to any other area you occupy."
BK1,112,Guardian Deployment,B,no,2,,,,,no,Effect,Eternal,"(Quick) B: Search Search your deck for a Forest Guardian card, set it in this area, and then open it. Shuffle your deck."
BK1,113,Valley Of Mist,B,yes,2,,,,,no,Effect,Eternal,"When this card is opened, draw 2 cards. Any player who opens a character here or moves a character here while they do not occupy this area, must discard 2 cards or destroy that character."
BK1,114,Landscape Of Paradise,B,no,2,,,,,yes,Effect,Normal,"When this card is opened, if this area is not occupied, lock all characters here."
BK1,115,Hatchery,B,no,2,,,,,no,Effect,Eternal,"At the end of your turn, you may search your deck or your graveyard for an ""Insect Elf"" card, set it in this area, then open it. Shuffle your deck."
BK1,116,Forest In The Dream,B,no,2,,,,,no,Effect,Eternal,"When this card is opened, draw 2 cards. The player who occupies this area can only open cards as if the level were 1 lower."
BK1,117,Curtain Of Night,B,no,2,,,,,no,Effect,Normal,When this card is opened your opponent discards 3 cards.
BK1,118,Kidnapped,B,no,1,,,,,no,Effect,Normal,"When this card is opened, destroy a level 1 or lower character in this area."
BK1,119,Swarm Raid,B,no,2,,,,,yes,Effect,Normal,"When this card is opened, deal 2 damage to target character in this area."
BK1,120,Profaned Being,B,no,2,,,,,yes,Effect,Normal,This card can only be opened if a battle was declared in this area this turn. Your opponent discards 2 cards.
BK1,121,Mercenary,R,no,0,0,1,1,1,no,character,Mercenary,
BK1,122,Charging Infantry Squad,R,no,2,0,1,4,2,no,character,NeoHawk Infantry,
BK1,123,Invading Cavalry,R,no,2,0,2,3,2,no,character,NeoHawk Cavalry,
BK1,124,Prowling Archers,R,no,2,2,1,2,1,no,character,NeoHawk Archer,
BK1,125,Pursuing Cavalry,R,no,2,0,2,2,3,no,character,NeoHawk Cavalry,
BK1,126,Raging Beast Soldiers,RR,no,2,0,1,2,3,no,character,NeoHawk Beast Soldiers,"When this card is opened, it gets +1/+1 until the end of the turn."
BK1,127,Beast Soldiers Of The Dark,RR,no,2,0,1,3,4,no,character,NeoHawk Beast Soldiers,When this card is opened it gets -1/-1 until end of turn.
BK1,128,Griffith,RR,yes,4,0,1,6,7,no,character,NeoHawk Leader,1: Destroy a set card here. This can only be activated once each turn.
BK1,129,Griffith,R,yes,4,0,1,6,6,no,character,NeoHawk Leader,"When this card is opened, eliminate all of your characters in play that are level 1 or less. 1: Unlock this character, can only be activated once each turn."
BK1,130,Griffith,R,yes,5,0,2,8,8,no,character,NeoHawk Leader,"When this card is opened, destroy all set cards."
BK1,131,Zodd,R,yes,4,0,1,5,5,no,character,NeoHawk Apostle,"3: Move this and another character from this area to another area within distance 2. There must be another character to move for this to be used, but it can be your character or an oppoenents character."
BK1,132,Zodd,1R,yes,3,0,1,5,6,no,character,NeoHawk Apostle,(Quick) Tap: All characters in this area get -2/+0 until end of the turn
BK1,133,Grunbeld,R,yes,3,0,1,3,5,no,character,NeoHawk ,(Quick) 1R: Target character in this area takes 2 damage.
BK1,134,Grunbeld,R,yes,4,0,1,5,5,no,character,NeoHawk ,"While an enemy character, level 4 or higher, is in this area, this card gets +1/+1"
BK1,135,Locus,R,yes,3,1,1,4,3,no,character,NeoHawk ,All cavalry characters you control get +1/+1
BK1,136,Locus,R,yes,4,1,1,4,5,no,character,NeoHawk ,(Quick) 1: This character gets +1/+0 until end of turn.
BK1,137,Irvine,R,yes,3,3,1,4,3,no,character,NeoHawk ,
BK1,138,Irvine,R,yes,4,3,1,5,3,no,character,NeoHawk ,
BK1,139,Rakshas,R,yes,3,0,2,3,4,no,character,NeoHawk ,(Quick) 2: Target character in this area gets -4/+0 until end of turn.
BK1,140,Rakshas,R,yes,4,0,2,3,4,no,character,NeoHawk ,(Quick) 2: Destroy a level 2 or lower character in this area.
BK1,141,Sonia,R,yes,1,0,1,0,2,no,character,NeoHawk ,"When this card Is opened, you may look at all set cards in this area. "
BK1,142,Sonia,R,yes,3,0,1,0,2,no,character,NeoHawk ,"When this card is opened, reveal all enemy set cards in all areas and destroy all effect cards among them."
BK1,143,Revelation Of The Hawk Of Light,R,no,2,,,,,yes,Effect,Normal,You can only open this card if you opened a character in this area this turn. Move all your characters to this area.
BK1,144,Preface To Reunion,R,no,3,,,,,yes,Effect,Normal,When this card is opened return all set cards you control to your hand.
BK1,145,Hill Of Swords,R,yes,2,,,,,no,Effect,Eternal,All characters in this area gain +1/+0. If a player captures this area they draw 3 cards instead of 2.
BK1,146,Affirmation Of Freedom,R,no,3,,,,,no,Effect,Normal,"When this card is opened, destroy a set card in this area"
BK1,147,Sudden Interception,R,no,4,,,,,yes,Effect,Normal,You can only open this card if you defended this area this turn. Target any number of characters and move them to this area and unlock them.
BK1,148,Even Match,R,no,3,,,,,yes,Effect,Normal,"When this card is opened, until end of turn, all damage dealt in this area  is reduced to 0."
BK1,149,Blood That Should Be Frozen,R,no,2,,,,,yes,Effect,Normal,"Until end of turn, target character in this area cannot participate in battle."
BK1,150,Demonic Transformation,R,no,3,,,,,no,Effect,Normal,"When this card is opened, destroy target character you control in this area. Then reveal cards from the top of your library until you reveal a character card, set that card in this area, and then open it. If the destroyed character was in battle, the newly opened card joins the battle."
BK1,151,Rescue From Falling Rocks,R,no,2,,,,,yes,Effect,Normal,When this card is opened negate all abilities of normal effects with 1 distance until end of turn.
BK1,152,Mind Flight,R,no,3,,,,,yes,Effect,Normal,"When this card is opened, destroy all eternal effect cards in play, then draw that many cards"
BK1,153,Precision Strike,RR,no,4,,,,,yes,Effect,Normal,"When this card is opened, destroy target open card in this area"
BK1,154,Strafing Evasion,R,no,3,,,,,yes,Effect,Normal,"Until end of turn, characters that are not in this area have their damage taken reduced to 0."
BK1,155,War Cry In The Wind,R,no,2,,,,,yes,Effect,Normal,This card can only be opened if you occupy no areas and your opponent occupies at least 2 areas. Look at the top 7 cards of your deck and set them anywhere.
BK1,156,Operation Liberation,R,no,3,,,,,no,Effect,Eternal,"While an enemy occupies the city in this area, all enemy character in this area get -2/-0"
BK1,157,What The Messenger Saw,R,no,3,,,,,no,Effect,Eternal,"When this card is opened, target an enemy character, that character cannot attack this area. If that character is in this area, destroy it if it were to move to another area."
BK1,158,Legendary Mobilization,R,no,2,,,,,no,Effect,Eternal,"When this card is opened, draw 2 cards. Whenever your opponent captures an area, set the top card of your library in that area."
BK1,159,Preposterous Story,R,no,2,,,,,no,Effect,Normal,"When this card as opened, look at the top 4 cards of your deck and put them back in any order. Do not shuffle."
BK1,160,New Wings,R,no,3,,,,,no,Effect,Normal,"When this card is opened, move a target character you control to this area."
BK2,1,Mercenary,W,no,0,0,1,1,1,no,character,,
BK2,2,Griffith,W,yes,2,0,1,3,3,no,character,,
BK2,3,Guts,W,yes,1,0,1,2,2,no,character,,
BK2,4,Casca,W,yes,1,0,1,2,2,no,character,,
BK2,5,Judeau,W,yes,1,1,1,2,1,no,character,,
BK2,6,Corkus,W,yes,1,0,1,2,3,no,character,,
BK2,7,Pippin,W,yes,1,0,1,2,1,no,character,,
BK2,8,Rickert,W,yes,1,0,1,1,2,no,character,,
BK2,9,Lone Horseman Charge,W,no,2,,,,,yes,Effect,Normal,
BK2,10,Death God's Assault,W,no,3,,,,,yes,Effect,Normal,
BK2,11,Moment of Fulfillment,W,no,1,,,,,no,Effect,Eternal,
BK2,12,The Star of Victory,W,no,1,,,,,yes,Effect,Normal,
BK2,13,Faithful Followers,W,no,1,,,,,no,Effect,Eternal,
BK2,14,Protested Mission,W,no,1,,,,,yes,Effect,Normal,
BK2,15,Courtship Failure,W,no,1,,,,,no,Effect,Normal,
BK2,16,Knighting Ceremony,W,no,0,,,,,no,Effect,Eternal,
BK2,17,Mercenary,G,no,0,0,1,1,1,no,character,,
BK2,18,Guts,GG,yes,4,0,1,7,7,no,character,,
BK2,19,Casca,G,yes,1,0,1,1,1,no,character,,
BK2,20,Farnese,G,yes,1,0,1,1,2,no,character,,
BK2,21,Serpico,G,yes,3,0,1,3,4,no,character,,
BK2,22,Schierke,G,yes,3,0,1,0,1,no,character,,
BK2,23,Isidro,G,yes,2,1,1,1,1,no,character,,
BK2,24,3 Days Without Sun,G,no,2,,,,,yes,Effect,Normal,
BK2,25,Encounter with an Elf,G,no,2,,,,,no,Effect,Normal,
BK2,26,Outcome of Misconception,G,no,2,,,,,no,Effect,Normal,
BK2,27,Delivery at Dawn,G,no,2,,,,,no,Effect,Eternal,
BK2,28,Peaceful Respite,G,no,2,,,,,no,Effect,Normal,
BK2,29,Tactical Decoy,G,no,2,,,,,no,Effect,Normal,
BK2,30,Wholesale Destruction,G,no,3,,,,,no,Effect,Normal,
BK2,31,Coca Leaves,G,no,2,,,,,yes,Effect,Normal,
BK2,32,Unthinkable Ally,G,no,4,,,,,no,Effect,Normal,
BK2,33,Mercenary,B,no,0,0,1,1,1,no,character,,
BK2,34,Insect Swarm,B,no,1,0,2,1,1,no,character,,
BK2,35,Ogre,B,no,3,0,1,3,4,no,character,,
BK2,36,Kelpie,B,no,3,1,1,2,5,no,character,,
BK2,37,Boss Troll,B,no,2,1,1,2,3,no,character,,
BK2,38,Zodd,1B,yes,3,0,2,4,5,no,character,,
BK2,39,Rosine,BB,yes,3,1,3,5,5,no,character,,
BK2,40,Rosine,B,yes,3,0,2,4,3,no,character,,
BK2,41,Slan,BBB,yes,3,0,2,7,7,no,character,,
BK2,42,Zodd's Entrance,B,no,3,,,,,no,Effect,Normal,
BK2,43,Prophecy of Death,B,no,2,,,,,no,Effect,Eternal,
BK2,44,Creeping Shadow,B,no,3,,,,,no,Effect,Normal,
BK2,45,Swift Counter,B,no,1,,,,,no,Effect,Normal,
BK2,46,A Dream of Peace,B,no,2,,,,,no,Effect,Eternal,
BK2,47,Power of One's Death,B,no,4,,,,,yes,Effect,Normal,
BK2,48,Overrunning Territory,B,no,2,,,,,no,Effect,Eternal,
BK2,49,Mercenary,R,no,0,0,1,1,1,no,character,,
BK2,50,Griffith,1R,yes,4,0,1,6,7,no,character,,
BK2,51,Zodd,R,yes,3,0,2,3,3,no,character,,
BK2,52,Grunbeld,1R,yes,4,0,1,4,5,no,character,,
BK2,53,Locus,R,yes,4,1,1,0,3,no,character,,
BK2,54,Irvine,R,yes,4,3,1,4,5,no,character,,
BK2,55,Rakshas,R,yes,3,0,1,5,3,no,character,,
BK2,56,Sonia,R,yes,1,0,1,0,1,no,character,,
BK2,57,Mule,R,yes,1,0,1,1,2,no,character,,
BK2,58,World's Rift,R,no,2,,,,,no,Effect,Normal,
BK2,59,Zodd's Onslaught,R,no,4,,,,,no,Effect,Normal,
BK2,60,Second Coming of Heroes,R,no,3,,,,,no,Effect,Normal,
BK2,61,Pointed Arrow Battle Formation,R,no,3,,,,,yes,Effect,Normal,
BK2,62,Farewell,R,yes,2,,,,,no,Effect,Eternal,
BK2,63,Blade Oath,RR,no,3,,,,,no,Effect,Normal,
BK2,64,Mythical Domain,R,yes,2,,,,,no,Effect,Eternal,
BK3,1,Mercenary,W,no,0,0,1,1,1,no,character,,
BK3,2,Solid Supply Unit,W,no,0,0,1,1,1,no,character,,
BK3,3,Unfortunate Guard,W,no,1,0,0,1,3,no,character,,
BK3,4,Griffith,WW,yes,2,0,1,2,2,no,character,,
BK3,5,Guts,W,yes,1,0,1,2,2,no,character,,
BK3,6,Casca,W,yes,1,0,1,1,2,no,character,,
BK3,7,Judeau,W,yes,1,0,1,1,2,no,character,,
BK3,8,Corkus,W,yes,1,0,1,2,2,no,character,,
BK3,9,Pippin,W,yes,1,0,1,1,3,no,character,,
BK3,10,Rickert,W,yes,1,1,1,1,2,no,character,,
BK3,11,The View from on High,W,no,1,,,,,yes,Effect,Normal,
BK3,12,Audience with the Minister,W,no,2,,,,,yes,Effect,Normal,
BK3,13,Blade's Master and Servant,W,no,2,,,,,yes,Effect,Normal,
BK3,14,Scheming Consultation,W,no,2,,,,,no,Effect,Normal,
BK3,15,Determination of the Sword,W,no,2,,,,,no,Effect,Normal,
BK3,16,Quiet Evening,W,no,2,,,,,no,Effect,Normal,
BK3,17,Mercenary,G,no,0,0,1,1,1,no,character,,
BK3,18,Guts,G,yes,3,0,1,6,5,no,character,,
BK3,19,Casca,G,yes,1,0,1,1,1,no,character,,
BK3,20,Farnese,G,yes,1,0,2,1,2,no,character,,
BK3,21,Serpico,G,yes,3,1,1,3,3,no,character,,
BK3,22,Schierke,G,yes,3,0,1,0,2,no,character,,
BK3,23,Isidro,G,yes,1,1,1,1,2,no,character,,
BK3,24,Puck,G,yes,1,0,1,0,1,no,character,,
BK3,25,Skull Knight,G,yes,5,0,3,7,9,no,character,,
BK3,26,Atonement,G,no,2,,,,,no,Effect,Eternal,
BK3,27,Dark Magic,G,no,4,,,,,no,Effect,Normal,
BK3,28,Fighting Chance,G,no,2,,,,,no,Effect,Normal,
BK3,29,Return Blow,G,no,3,,,,,yes,Effect,Normal,
BK3,30,Sword of Actuation,G,no,5,,,,,yes,Effect,Normal,
BK3,31,Light of Hope,G,no,4,,,,,no,Effect,Eternal,
BK3,32,Master and Pupil,G,no,4,,,,,yes,Effect,Normal,
BK3,33,Mercenary,B,no,0,0,1,1,1,no,character,,
BK3,34,Crocodile Man,1B,no,2,0,1,3,4,no,character,,
BK3,35,Elephant Soldier,1B,no,2,0,1,2,5,no,character,,
BK3,36,Daka,B,no,1,0,1,2,1,no,character,,
